,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,CALIFICACION
1,0,3,2,2,1,0,1,1,1,0,0,0,1,0,1,1,0,0,3,2,5,69,81,73,75,74,372,GANO
2,0,4,2,2,1,1,1,1,0,1,0,1,2,1,3,3,0,0,1,2,5,71,73,64,67,71,345,GANO
4,0,2,3,4,1,1,1,1,0,1,1,0,1,1,0,2,0,0,1,2,4,41,34,36,30,49,182,REGULAR
7,0,2,2,3,1,1,0,1,0,0,0,0,1,1,4,3,0,0,2,2,2,49,44,42,45,48,226,REGULAR
9,0,4,2,3,1,1,1,1,1,1,0,0,2,2,4,3,0,0,1,2,0,73,75,74,72,83,371,GANO
10,0,4,2,3,1,1,1,1,1,1,1,1,1,1,0,3,0,0,1,2,0,56,63,48,45,65,270,GANO
11,0,4,2,2,1,1,1,1,0,0,0,0,2,0,3,2,0,0,1,2,5,71,74,70,78,86,371,GANO
12,0,5,1,2,1,1,1,1,1,1,0,1,3,1,3,3,0,0,1,2,5,63,57,55,59,69,297,GANO
13,0,6,3,3,1,1,1,1,1,1,0,0,1,2,4,1,0,0,1,1,5,62,52,54,55,78,287,GANO
14,1,4,1,2,1,1,1,1,1,1,0,1,2,2,0,3,0,0,1,1,5,59,57,53,49,73,280,GANO
15,0,5,2,2,1,1,1,1,1,1,0,0,2,1,0,1,0,0,1,2,0,66,67,64,64,71,328,GANO
16,0,4,2,3,1,1,1,1,1,1,0,1,1,1,4,4,0,0,1,1,5,47,55,51,39,59,244,REGULAR
18,0,5,2,3,1,1,1,1,1,1,0,1,3,2,1,2,0,1,1,2,5,68,74,67,79,81,363,GANO
19,0,6,4,3,1,1,1,1,1,1,0,1,3,1,4,2,0,1,1,2,5,37,47,33,41,72,210,REGULAR
21,0,5,2,4,1,1,1,1,1,1,0,1,2,1,4,3,0,0,1,2,5,67,77,69,75,80,363,GANO
22,0,1,2,2,1,0,1,1,1,0,1,0,3,1,2,0,1,0,3,2,4,44,37,40,37,42,198,REGULAR
27,0,6,3,5,1,1,1,1,1,1,0,1,2,1,2,3,0,1,1,2,5,66,71,63,59,90,333,GANO
28,0,4,2,3,1,1,1,1,1,1,1,1,2,2,2,2,0,0,1,2,1,73,75,73,69,64,359,GANO
29,0,4,3,3,1,1,1,1,0,0,0,0,3,0,2,2,0,0,1,2,5,66,53,57,60,81,303,GANO
30,0,4,2,3,1,1,1,1,1,1,0,1,2,2,1,3,0,0,1,2,5,60,57,60,63,78,307,GANO
32,0,3,3,4,1,1,1,1,0,1,1,1,0,1,2,2,0,0,1,2,5,56,48,52,46,51,253,GANO
35,0,3,2,2,0,1,1,1,1,1,0,0,2,1,1,4,0,0,1,2,5,62,52,61,68,60,303,GANO
37,0,5,2,3,1,1,1,1,1,1,0,1,2,2,1,0,0,0,1,2,4,62,45,43,51,73,260,GANO
38,0,2,3,4,1,1,1,1,1,1,0,0,0,2,0,2,1,0,3,2,4,49,43,42,37,37,212,REGULAR
39,0,0,2,3,1,1,1,1,1,1,0,0,2,2,1,2,0,0,1,2,1,72,81,72,78,83,382,GANO
41,0,5,2,3,1,1,1,1,1,1,0,1,2,2,1,1,0,1,1,2,5,58,63,39,33,73,251,GANO
42,0,4,2,4,1,1,1,1,0,1,0,1,2,1,1,3,0,1,1,2,5,64,73,66,60,82,335,GANO
43,0,6,2,4,1,1,1,1,1,1,1,1,2,2,0,2,0,1,1,2,5,56,66,62,55,86,309,GANO
49,0,5,1,2,1,1,1,1,1,0,0,1,0,2,1,3,0,0,1,1,5,61,63,59,64,65,310,GANO
50,0,3,2,2,1,1,1,1,0,1,1,0,2,1,0,2,0,0,1,2,5,64,60,62,52,62,298,GANO
51,0,6,2,3,1,1,1,1,1,1,0,1,2,0,0,1,0,0,1,2,5,72,100,78,79,100,418,GANO
52,0,5,2,3,1,1,1,1,1,1,0,0,2,1,4,3,0,0,1,2,1,51,36,40,55,59,233,REGULAR
53,0,4,2,2,1,1,1,1,1,1,0,1,2,1,4,2,0,0,1,2,5,71,83,77,72,78,380,GANO
54,0,4,1,2,1,1,1,1,1,1,0,0,3,1,4,3,0,0,1,2,5,72,68,61,61,84,335,GANO
56,0,3,2,2,1,1,1,1,1,0,0,1,2,1,1,2,0,0,1,2,3,60,44,45,39,66,242,REGULAR
57,0,3,2,3,1,1,1,1,1,1,0,0,1,2,4,3,0,0,1,1,5,54,54,52,50,72,270,GANO
58,0,4,2,3,1,1,1,1,1,1,0,1,2,2,0,3,0,1,1,1,5,72,81,75,69,82,374,GANO
59,0,5,2,3,1,1,1,1,1,1,0,0,3,1,3,2,0,0,1,2,5,74,67,62,54,84,329,GANO
60,0,5,3,5,1,1,1,1,1,1,0,1,3,1,1,3,0,1,1,2,5,71,65,61,65,81,333,GANO
63,0,2,2,2,1,1,1,1,1,1,0,0,1,1,0,3,0,1,1,2,5,70,80,74,76,86,379,GANO
64,0,5,2,3,1,1,1,1,1,1,0,1,3,2,1,3,0,0,1,2,5,63,49,55,50,77,280,GANO
65,0,5,2,4,1,1,1,1,1,1,0,1,2,2,0,3,0,1,1,2,5,54,44,54,33,79,244,REGULAR
66,0,4,2,3,1,1,1,1,1,1,0,1,2,1,1,2,0,1,1,2,5,74,75,74,77,86,379,GANO
67,0,4,2,3,1,1,1,1,1,1,0,0,1,0,0,3,0,1,1,2,5,66,78,68,67,89,356,GANO
68,0,5,2,4,1,1,1,1,1,1,0,1,3,2,0,3,0,1,1,2,5,73,76,71,64,84,360,GANO
69,0,4,2,2,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,2,5,62,74,55,47,84,307,GANO
71,0,2,2,2,1,1,1,1,1,1,1,1,0,1,4,2,0,0,2,2,1,75,61,60,64,62,324,GANO
72,0,4,2,3,1,1,1,1,1,1,0,1,1,2,1,1,0,0,2,2,1,63,56,59,61,74,304,GANO
74,0,3,2,4,1,1,1,1,1,0,0,0,0,2,4,2,0,0,1,2,3,34,39,34,29,32,169,REGULAR
75,0,6,3,5,1,1,1,1,1,0,0,1,2,1,1,3,0,0,1,2,1,55,47,58,57,73,278,GANO
76,0,5,2,2,1,1,1,1,1,1,0,1,3,1,0,2,0,1,1,1,5,63,68,58,59,84,318,GANO
77,0,5,3,3,1,1,1,1,1,1,0,1,2,2,0,3,0,0,1,1,5,40,41,46,46,57,222,REGULAR
78,0,5,2,3,1,1,1,1,1,1,0,1,1,1,0,3,0,1,1,2,5,68,69,68,78,81,358,GANO
79,0,0,3,5,1,1,1,1,1,1,0,1,0,1,4,1,0,0,1,2,1,62,69,72,66,74,339,GANO
80,0,3,3,4,1,1,1,1,1,1,1,0,2,1,4,2,0,0,1,2,1,62,58,58,55,73,297,GANO
81,0,3,1,1,1,1,1,1,1,1,0,1,0,1,1,2,0,0,1,2,1,58,57,58,56,67,290,GANO
83,0,3,2,3,0,1,1,1,1,0,0,0,1,0,4,2,0,0,1,2,1,80,58,63,69,70,338,GANO
84,0,4,2,4,1,1,1,1,1,1,0,0,2,1,1,0,0,0,1,2,5,51,52,58,60,62,279,GANO
85,0,4,2,2,1,1,1,1,1,1,0,1,2,2,1,2,0,0,1,2,5,75,80,77,77,75,385,GANO
87,0,3,2,2,1,1,1,1,1,1,0,1,0,2,4,3,0,0,1,2,1,47,50,40,45,54,231,REGULAR
88,0,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,0,0,3,1,5,71,70,75,61,87,353,GANO
89,0,4,1,3,1,1,1,1,1,1,1,1,2,2,1,3,0,0,1,2,5,53,52,53,43,58,254,GANO
90,0,3,3,5,1,1,1,1,1,1,0,1,1,1,4,2,0,0,3,1,5,58,48,56,55,60,273,GANO
92,0,3,2,4,1,1,1,1,1,0,1,1,1,1,4,2,0,0,1,2,1,59,45,46,40,48,238,REGULAR
94,0,3,2,3,1,1,1,1,1,1,1,0,1,1,4,2,0,0,1,2,4,49,43,44,33,43,212,REGULAR
98,0,3,1,2,1,1,1,1,1,0,0,1,0,2,0,1,0,0,1,2,4,50,62,54,46,55,266,GANO
99,0,4,2,3,1,1,1,1,1,1,0,1,3,2,4,2,0,0,1,2,5,70,66,52,68,100,334,GANO
100,0,3,3,4,1,1,1,1,1,1,1,0,3,0,0,2,0,0,1,1,4,60,57,54,56,49,281,GANO
101,0,4,2,4,1,1,1,1,1,1,0,1,1,1,4,3,0,0,1,2,1,55,40,46,41,59,233,REGULAR
102,0,2,2,2,1,1,1,1,1,0,0,0,0,1,4,3,0,0,1,2,5,67,67,67,66,74,337,GANO
103,0,4,2,3,1,1,1,1,1,1,0,1,2,1,4,3,0,0,3,2,5,65,82,64,65,65,343,GANO
104,0,3,4,6,1,1,1,1,1,0,0,0,2,1,3,3,0,0,1,2,1,63,62,59,59,52,300,GANO
106,0,6,2,3,1,1,1,1,1,1,0,0,3,2,4,2,0,1,1,2,5,59,63,58,58,76,304,GANO
