FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONINTERNET;COLE_BILINGUE;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL;CALIFICACION
3;1;0;1;1;0;0;1;0;1;0;5;69;81;73;75;74;372;0
4;1;1;1;0;1;1;2;1;3;0;5;71;73;64;67;71;345;0
2;1;1;1;0;1;0;1;1;2;0;4;41;34;36;30;49;182;2
2;1;1;0;0;0;0;1;1;3;0;2;49;44;42;45;48;226;2
4;1;1;1;1;1;0;2;2;3;0;0;73;75;74;72;83;371;0
4;1;1;1;1;1;1;1;1;3;0;0;56;63;48;45;65;270;0
4;1;1;1;0;0;0;2;0;2;0;5;71;74;70;78;86;371;0
5;1;1;1;1;1;1;3;1;3;0;5;63;57;55;59;69;297;0
6;1;1;1;1;1;0;1;2;1;0;5;62;52;54;55;78;287;0
4;1;1;1;1;1;1;2;2;3;0;5;59;57;53;49;73;280;0
5;1;1;1;1;1;0;2;1;1;0;0;66;67;64;64;71;328;0
4;1;1;1;1;1;1;1;1;4;0;5;47;55;51;39;59;244;2
5;1;1;1;1;1;1;3;2;2;1;5;68;74;67;79;81;363;0
6;1;1;1;1;1;1;3;1;2;1;5;37;47;33;41;72;210;2
5;1;1;1;1;1;1;2;1;3;0;5;67;77;69;75;80;363;0
1;1;0;1;1;0;0;3;1;0;0;4;44;37;40;37;42;198;2
6;1;1;1;1;1;1;2;1;3;1;5;66;71;63;59;90;333;0
4;1;1;1;1;1;1;2;2;2;0;1;73;75;73;69;64;359;0
4;1;1;1;0;0;0;3;0;2;0;5;66;53;57;60;81;303;0
4;1;1;1;1;1;1;2;2;3;0;5;60;57;60;63;78;307;0
3;1;1;1;0;1;1;0;1;2;0;5;56;48;52;46;51;253;0
3;0;1;1;1;1;0;2;1;4;0;5;62;52;61;68;60;303;0
5;1;1;1;1;1;1;2;2;0;0;4;62;45;43;51;73;260;0
2;1;1;1;1;1;0;0;2;2;0;4;49;43;42;37;37;212;2
0;1;1;1;1;1;0;2;2;2;0;1;72;81;72;78;83;382;0
5;1;1;1;1;1;1;2;2;1;1;5;58;63;39;33;73;251;0
4;1;1;1;0;1;1;2;1;3;1;5;64;73;66;60;82;335;0
6;1;1;1;1;1;1;2;2;2;1;5;56;66;62;55;86;309;0
5;1;1;1;1;0;1;0;2;3;0;5;61;63;59;64;65;310;0
